API Name,Base URL,Source URL
"행정안전부_문화_일반테마파크업 조회서비스","apis.data.go.kr/1741000/general_amusement_facilities","https://www.data.go.kr/data/15155157/openapi.do"
"행정안전부_식품_위탁급식영업 조회서비스","apis.data.go.kr/1741000/contract_catering","https://www.data.go.kr/data/15155159/openapi.do"
"행정안전부_식품_식품첨가물제조업 조회서비스","apis.data.go.kr/1741000/food_additive_manufacturers","https://www.data.go.kr/data/15155162/openapi.do"
"행정안전부_자원환경_고압가스업 조회서비스","apis.data.go.kr/1741000/high_pressure_gas","https://www.data.go.kr/data/15155163/openapi.do"
"행정안전부_식품_식품냉동냉장업 조회서비스","apis.data.go.kr/1741000/food_freezing_refrigeration","https://www.data.go.kr/data/15155164/openapi.do"
"행정안전부_문화_국제회의기획업 조회서비스","apis.data.go.kr/1741000/international_convention_planners","https://www.data.go.kr/data/15155166/openapi.do"
"행정안전부_식품_집단급식소 조회서비스","apis.data.go.kr/1741000/group_meal_facilities","https://www.data.go.kr/data/15155168/openapi.do"
"행정안전부_식품_식육포장처리업 조회서비스","apis.data.go.kr/1741000/meat_packers","https://www.data.go.kr/data/15155169/openapi.do"
"행정안전부_식품_식품판매업(기타) 조회서비스","apis.data.go.kr/1741000/other_food_retailers","https://www.data.go.kr/data/15155170/openapi.do"
"행정안전부_자원환경_석연탄제조업 조회서비스","apis.data.go.kr/1741000/briquette_manufacturers","https://www.data.go.kr/data/15155171/openapi.do"
"행정안전부_식품_건강기능식품유통전문판매업 조회서비스","apis.data.go.kr/1741000/health_functional_food_specialty_retailers","https://www.data.go.kr/data/15155173/openapi.do"
"행정안전부_식품_건강기능식품일반판매업 조회서비스","apis.data.go.kr/1741000/health_functional_food_general_retailers","https://www.data.go.kr/data/15155221/openapi.do"
"행정안전부_식품_식용얼음판매업 조회서비스","apis.data.go.kr/1741000/edible_ice_retailers","https://www.data.go.kr/data/15155226/openapi.do"
"행정안전부_문화_전문휴양업 조회서비스","apis.data.go.kr/1741000/special_resorts","https://www.data.go.kr/data/15155232/openapi.do"
"행정안전부_문화_전통사찰 조회서비스","apis.data.go.kr/1741000/traditional_temples","https://www.data.go.kr/data/15155235/openapi.do"
"행정안전부_문화_관광궤도업 조회서비스","apis.data.go.kr/1741000/tourist_railways","https://www.data.go.kr/data/15155236/openapi.do"
"행정안전부_식품_옹기류제조업 조회서비스","apis.data.go.kr/1741000/onggi_manufacturers","https://www.data.go.kr/data/15155237/openapi.do"
"행정안전부_문화_종합테마파크업 조회서비스","apis.data.go.kr/1741000/comprehensive_amusement_facilities","https://www.data.go.kr/data/15155238/openapi.do"
"행정안전부_문화_종합휴양업 조회서비스","apis.data.go.kr/1741000/comprehensive_resorts","https://www.data.go.kr/data/15155242/openapi.do"
"행정안전부_식품_즉석판매제조가공업 조회서비스","apis.data.go.kr/1741000/instant_food_processors","https://www.data.go.kr/data/15155245/openapi.do"
"행정안전부_문화_지방문화원 조회서비스","apis.data.go.kr/1741000/local_culture_centers","https://www.data.go.kr/data/15155246/openapi.do"
"행정안전부_문화_테마파크업(기타) 조회서비스","apis.data.go.kr/1741000/amusement_facilities_other","https://www.data.go.kr/data/15155250/openapi.do"
"행정안전부_식품_유통전문판매업 조회서비스","apis.data.go.kr/1741000/distribution_specialty_retailers","https://www.data.go.kr/data/15155251/openapi.do"
"행정안전부_식품_제과점영업 조회서비스","apis.data.go.kr/1741000/bakeries","https://www.data.go.kr/data/15155252/openapi.do"
"행정안전부_자원환경_석유판매업 조회서비스","apis.data.go.kr/1741000/oil_retailers","https://www.data.go.kr/data/15155253/openapi.do"
"행정안전부_식품_용기냉동기특정설비 조회서비스","apis.data.go.kr/1741000/container_refrigeration_equipment","https://www.data.go.kr/data/15155257/openapi.do"
"행정안전부_자원환경_석유및석유대체연료판매업체 조회서비스","apis.data.go.kr/1741000/petroleum_alt_fuel_retailers","https://www.data.go.kr/data/15155258/openapi.do"
"행정안전부_식품_용기및포장지제조업 조회서비스","apis.data.go.kr/1741000/container_packaging_manufacturers","https://www.data.go.kr/data/15155262/openapi.do"
"행정안전부_동물_동물약국 조회서비스","apis.data.go.kr/1741000/animal_pharmacies","https://www.data.go.kr/data/15155272/openapi.do"
